URL,Changes Made,Why the Changes Were Made,What Benefit Will the Website Have?,Is There Any UI/UX Change?,Does This Match the SEO Action Plan?
"Site-wide (all pages) - functions/analytics.js (new) + BannerForm.js, ContactForm.js, Footer.js, _app.js","Added consent-gated GA4 events: generate_lead fires on banner/contact/footer form submits; click_call and click_whatsapp fire on tel:/WhatsApp link clicks.","No conversion tracking existed, so lead ROI could not be measured.","Form submissions and call/WhatsApp clicks can finally be measured in GA4, enabling prioritization by real results.","No (invisible, consent-gated)","Yes - Item #7: Set up GA4 key events (form submit / WhatsApp click / call)"
"Site-wide (Organization schema) - _document.js","Added serviceType and areaServed (India) to the Organization JSON-LD.","Organization structured data was too thin for Google to understand the business.","Stronger entity definition for Google, supporting knowledge-panel/rich-result eligibility.","No","Yes - Item #6: Organization schema markup (part of the sitewide Organization + Service + BreadcrumbList build-out)"
"Site-wide (Service schema) - ServiceSchema.js (new) + CustomLayout.js","New ServiceSchema component emits Service JSON-LD (name, url, provider, areaServed) on every service page, skipping non-service pages and the 53 pages that already define their own Service schema.","Item #6 asked for Service schema across ~50 service pages; many still had none.","Every service page now has Service structured data for rich-result eligibility, without duplicate/conflicting markup.","No","Yes - Item #6: Service schema markup site-wide (completes the Organization + Service + BreadcrumbList build-out)"
"/blog/ppc-management-pricing-2025-cost-guide-what-you-should-pay - pages/blog/[slug].js","Added hardcoded meta title/description override for the PPC pricing post, automatic meta fallback from post content, and FAQPage JSON-LD.","The post had empty meta tags despite 92,426 impressions (0.05% CTR).","Search snippet now shows a real title/description, lifting CTR on the highest-impression page on the site.","No (meta only)","Yes - Item #1: Fix empty meta title/description/OG tags"
"Footer template (site-wide) - Footer.js","Repointed footer links: PR Submission -> /link-building-services; Google Local Listing -> /local-seo-services.","Footer linked to dead 410 pages (~118 broken instances).","Removes a sitewide crawl/trust problem and passes link equity to live service pages.","Yes (footer links now go to working pages)","Yes - Item #2: Remove/repoint sitewide footer links to two dead pages"
"/pay-per-click-ppc-management-services - CustomLayout.js","Removed special-case canonical overrides; the PPC page now emits a self-referencing canonical.","There was a real canonical conflict on the PPC page.","Removes split-ranking signals between the PPC page and the Google Ads page.","No","Yes - Item #11: Add self-referencing canonical"
"/pay-per-click-ppc-management-services - pay-per-click-ppc-management-services.js","Fixed malformed BreadcrumbSchema URL (https:/www -> https://www).","Breadcrumb schema contained a broken URL.","Breadcrumb structured data is now valid, avoiding schema validation errors.","No","Yes - Item #6: BreadcrumbList schema markup (correctness fix within the schema build-out)"
"/search-engine-optimization-seo-services - search-engine-optimization-seo-services.js","Added 4 sub-services to the Service schema Offers: Google Penalty Recovery, International/Multilingual SEO, YouTube SEO, ASO.","Item #4 called for adding these missing subtopics to the flagship page.","Tells Google these sub-services are part of the main SEO offering.","No","Yes - Item #4: add missing subtopics (Penalty Removal, Intl SEO, YouTube SEO, ASO)"
"/search-engine-optimization-seo-services - seo-template/Seo.js","Rewrote H1 to ""Search Engine Optimization Services in India & SEO Company in Mumbai""; added crawlable links to Technical/eCommerce/Content SEO cards and a ""Compare All SEO Packages in India"" CTA.","H1 did not match geography and sub-services were not internally linked.","H1 now matches ""SEO company in India/Mumbai"" intent; links spread equity to sub-service pages.","Yes (H1 text, new links and CTA visible)","Yes - Item #4: Rewrite H1 to match geography + internal linking"
"/search-engine-optimization-seo-services (Specialised Services section) - SEO2/SpecialisedServices.js","Made eCommerce/Shopify/Local SEO tiles real links and added linked tiles for Google Penalty Removal, International SEO, YouTube SEO, ASO.","Sub-service tiles were unlinked and 4 subtopics were missing.","Flagship page now internally links to 7 sub-service pages so they can be crawled and ranked.","Yes (tiles are now clickable)","Yes - Item #4: internal-link 6 sub-services + add missing subtopics"
